Profile-Img,Player,Position,TeamName,Age,Height,Weight,BirthPlace,PreviousClub
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/CURRAN%2C%20Josh%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Josh
Curran",Lock,Bulldogs,25,185,104,"Sydney, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/KAUTUGA%2C%20Kitione%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Kitione
Kautoga",Prop,Bulldogs,21,185,109,Fiji,Wests Tigers
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/MANN%2C%20Kurt%20NRL%202024_GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Kurt
Mann",Lock,Bulldogs,31,184,88,"Winton, QLD",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/KNIGHT%2C%20Liam%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Liam
Knight",Prop,Bulldogs,29,194,106,"Alice Springs, NT",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/HOPOI%2C%20Lipoi%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Lipoi
Hopoi",Lock,Bulldogs,,,,13,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/KING%2C%20Max%20NRL%202024%20GP00006-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Max
King",Lock,Bulldogs,27,188,105,"Maitland, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/FAAMAUSILI%2C%20Poasa%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Poasa
Faamausili",Prop,Bulldogs,28,188,108,"Auckland, NZ",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/MAHONEY%2C%20Reed%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Reed
Mahoney",Hooker,Bulldogs,26,175,86,"Nambour, QLD",Parramatta Eels
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/SUTTON%2C%20Ryan%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Ryan
Sutton",Prop,Bulldogs,29,188,105,"Billinge, ENG",Canberra Raiders
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/HUGHES%2C%20Samuel%20NRL%202024%20GP00005-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Samuel
Hughes",Prop,Bulldogs,23,193,111,"Cronulla, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/KIKAU%2C%20Viliame%20NRL%202024%20GP00007-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Viliame
Kikau",2nd Row,Bulldogs,29,195,116,FIJ,Penrith Panthers
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Milford%2C%20Anthony-24-8489.png?center=0.5%2C0.5&preset=player-profile-large,"Anthony
Milford",Five-Eighth,Dolphins,30,177,90,"Brisbane, QLD",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Lee%2C%20Edrick-24-8516.png?center=0.5%2C0.5&preset=player-profile-large,"Edrick
Lee",Winger,Dolphins,31,196,100,"Brisbane, QLD",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Tabuai-Fidow-24-8743.png?center=0.5%2C0.5&preset=player-profile-large,"Hamiso
Tabuai-Fidow",Fullback,Dolphins,22,186,89,"Cairns, QLD",North Queensland Cowboys
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Farnworth%2C%20Herbie-24-8786.png?center=0.5%2C0.5&preset=player-profile-large,"Herbie
Farnworth",Centre,Dolphins,24,190,106,"Burnley, Lancashire, ENG",Brisbane Broncos
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Katoa%2C%20Isaiya-24-9419.png?center=0.5%2C0.5&preset=player-profile-large,"Isaiya
Katoa",Five-Eighth,Dolphins,20,181,91,"Lower Hutt, NZ",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Bostock%2C%20Jack-24-8605.png?center=0.5%2C0.5&preset=player-profile-large,"Jack
Bostock",Centre,Dolphins,20,194,97,"Figtree, NSW",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Averillo%2C%20Jake-24-9329.png?center=0.5%2C0.5&preset=player-profile-large,"Jake
Averillo",Centre,Dolphins,24,183,92,"Sydney, NSW",Canterbury-Bankstown Bulldogs
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Isaako%2C%20Jamayne-24-8822.png?center=0.5%2C0.5&preset=player-profile-large,"Jamayne
Isaako",Fullback,Dolphins,28,180,95,"Christchurch, NZ",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Nikorima%2C%20Kodi-24-9043.png?center=0.5%2C0.5&preset=player-profile-large,"Kodi
Nikorima",Halfback,Dolphins,30,174,82,"Palmerston North, NZ",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Donoghoe%2C%20Kurt-24-8635.png?center=0.5%2C0.5&preset=player-profile-large,"Kurt
Donoghoe",Five-Eighth,Dolphins,22,180,92,"Newcastle, NSW",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Jennings%2C%20Robert-24-8550.png?center=0.5%2C0.5&preset=player-profile-large,"Robert
Jennings",Winger,Dolphins,28,185,107,"Blacktown, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/O%27Sullivan%2C%20Sean-24-9290.png?center=0.5%2C0.5&preset=player-profile-large,"Sean
O'Sullivan",Halfback,Dolphins,25,179,86,"St George, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Niu%2C%20Tesi-24-9391.png?center=0.5%2C0.5&preset=player-profile-large,"Tesi
Niu",Centre,Dolphins,23,177,94,-,Brisbane Broncos
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Fuller%2C%20Trai-24-8691.png?center=0.5%2C0.5&preset=player-profile-large,"Trai
Fuller",Fullback,Dolphins,27,170,78,"Monto, QLD",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Te%20Whare%2C%20Valynce-24-8463.png?center=0.5%2C0.5&preset=player-profile-large,"Valynce
Te Whare",Centre,Dolphins,23,182,108,-,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Lemuelu%2C%20Connelly-24-9216.png?center=0.5%2C0.5&preset=player-profile-large,"Connelly
Lemuelu",2nd Row,Dolphins,26,190,106,"Auckland, NZ",North Queensland Cowboys
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Aitken%2C%20Euan-24-9183.png?center=0.5%2C0.5&preset=player-profile-large,"Euan
Aitken",2nd Row,Dolphins,29,182,96,"Pambula, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500723/Kaufusi%2C%20Felise-24-8995.png?center=0.5%2C0.5&preset=player-profile-large,"Felise
Kaufusi",2nd Row,Dolphins,32,189,109,"Auckland, NZ",Melbourne Storm
